day,p_whale,p_large,p_medium,p_small,p_market
1,,0.0,0.0,0.0,0.62
2,0.3890944634503944,0.5952749407661891,0.0290430708403307,0.0306818767515651,0.845
3,0.6392346514313474,0.5243934697097309,-0.0354816023586563,-0.0641799004701083,0.972
4,0.9801454099690956,0.4566858174730787,-0.1561495653020625,-0.1745437434695829,0.986
5,0.8271034277458887,0.4411335705399892,-0.165695080176268,-0.194163975017217,0.986
6,0.8678957254442974,0.4252850858758542,-0.172423030122121,-0.2164643744179906,0.99
7,-0.7592537859384797,0.3765248812292442,-0.1740746439880162,-0.2250531266289074,0.9995
8,-0.6978244199218514,0.3979040367704343,-0.1740746439880162,-0.2250531266289074,0.9975
9,-0.6978244199218514,0.3913228740961589,-0.1729446872723089,-0.2113247397229358,0.9985
10,-0.8276996627114873,0.3905003941444342,-0.1717390134217617,-0.2073321240884591,0.9975
11,-0.8276996627114873,0.3886765454885706,-0.1717390134217617,-0.2190511912560017,0.9985
12,-0.8836880669137978,0.3886765454885706,-0.1717390134217617,-0.2190511912560017,0.999
13,-0.8836880669137978,0.3886765454885706,-0.1717390134217617,-0.2190511912560017,0.9985
14,-0.8836880669137978,0.3886765454885706,-0.1717390134217617,-0.2096673397122782,0.9975
15,-0.8836880669137978,0.3886765454885706,-0.1717390134217617,-0.2096673397122782,0.9975
16,-0.85423009868289,0.3886765454885706,-0.1717390134217617,-0.2096673397122782,0.9955
17,-0.85423009868289,0.4050285942435282,-0.171149849357156,-0.2094684166976193,0.9995
18,-0.3438145331398483,0.4059173997986434,-0.1665981278890387,-0.2155626434152561,0.9995
19,,0.4136683742884883,,,0.9995
