segment,market_id,day,H_Y_jt,H_N_jt,p_segment_t
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,1,0.0,20.36,0.0
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,2,7.322617000000008,231.34000000000003,0.03068187675156519
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,3,-37.13616999999999,541.49,-0.06417990047010835
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,4,-146.369504,692.214,-0.17454374346958296
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,5,-213.499504,886.0840000000001,-0.19416397501721702
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,6,-271.113791,981.35,-0.21646437441799063
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,7,-285.413791,982.7925,-0.22505312662890742
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,8,-285.413791,982.7925,-0.22505312662890742
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,9,-265.413791,990.5385,-0.21132473972293586
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,10,-265.413791,1014.7245,-0.20733212408845914
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,11,-284.623791,1014.7245,-0.21905119125600173
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,12,-284.623791,1014.7245,-0.21905119125600173
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,13,-284.623791,1014.7245,-0.21905119125600173
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,14,-269.623791,1016.3361080000001,-0.20966733971227822
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,15,-269.623791,1016.3361080000001,-0.20966733971227822
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,16,-269.623791,1016.3361080000001,-0.20966733971227822
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,17,-269.623791,1017.5573280000001,-0.20946841669761934
Small,will-gallego-win-arizona-senate-election-by-0-1_trades,18,-279.623791,1017.5573280000001,-0.21556264341525616
